"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
7,986330255E1;5,594599713E1;-3,378651770E0;3,424201592E1;8,869360352E1;1,013000011E1;2,281999969E2;7,825520353E-1;3,942388058E0;2,546118975E0;1,800000000E1
8,086330255E1;5,594594956E1;-3,378787350E0;3,432691440E1;8,877880859E1;1,005000019E1;2,196999969E2;7,924019765E-1;4,030779839E0;2,500000000E0;1,800000000E1
8,186330255E1;5,594590122E1;-3,378919910E0;3,467512462E1;8,912731934E1;9,970000267E0;2,113000031E2;8,032231430E-1;4,347316265E0;2,653409719E0;2,000000000E1
8,286330255E1;5,594585389E1;-3,379071760E0;3,435001563E1;8,880255127E1;1,003999996E1;2,213999939E2;8,140682512E-1;3,790092468E0;2,570832968E0;2,100000000E1
8,386330255E1;5,594580383E1;-3,379221240E0;3,327863368E1;8,773150635E1;1,015999985E1;2,203999939E2;8,243347183E-1;3,790092468E0;2,500000000E0;2,200000000E1
8,486330255E1;5,594576039E1;-3,379366730E0;3,345231907E1;8,790551758E1;9,800000191E0;2,220000000E2;8,354088342E-1;3,790092468E0;2,501051903E0;2,500000000E1
8,586330255E1;5,594571240E1;-3,379522570E0;3,313715011E1;8,759069824E1;1,026000023E1;2,231999969E2;8,458744764E-1;3,790092468E0;2,639230013E0;2,500000000E1
8,686330255E1;5,594566577E1;-3,379668570E0;3,251005187E1;8,696392822E1;1,035999966E1;2,263999939E2;8,563276425E-1;3,790092468E0;2,856888056E0;2,600000000E1
8,786330255E1;5,594561313E1;-3,379807660E0;3,295254587E1;8,740673828E1;1,023999977E1;2,361999969E2;8,665523822E-1;3,790092468E0;3,030315399E0;2,600000000E1
8,886330255E1;5,594557009E1;-3,379952770E0;3,252149593E1;8,697601318E1;1,043000031E1;2,418999939E2;8,779500753E-1;4,014513493E0;3,396912098E0;2,500000000E1
8,986330255E1;5,594552637E1;-3,380118330E0;3,238923055E1;8,684411621E1;1,105000019E1;2,311000061E2;8,882240653E-1;4,510869026E0;3,706439018E0;2,500000000E1
9,086330255E1;5,594547925E1;-3,380260260E0;3,223607874E1;8,669128418E1;1,050000000E1;2,321000061E2;8,980916070E-1;5,331500053E0;4,124494553E0;2,100000000E1
9,186330255E1;5,594542997E1;-3,380392050E0;3,242071607E1;8,687622070E1;1,026000023E1;2,326999969E2;9,085859771E-1;6,106994629E0;4,427280426E0;2,000000000E1
9,286330255E1;5,594537455E1;-3,380528470E0;3,193853200E1;8,639434814E1;1,048999977E1;2,320000000E2;9,181909208E-1;6,508595943E0;4,664791107E0;1,700000000E1
9,386330255E1;5,594533196E1;-3,380662670E0;3,208996387E1;8,654608154E1;1,014999962E1;2,318999939E2;9,280727989E-1;7,545835495E0;4,912937164E0;1,900000000E1
9,486330255E1;5,594527866E1;-3,380789660E0;3,142072789E1;8,587713623E1;9,819999695E0;2,321000061E2;9,379452994E-1;7,829701424E0;5,012612820E0;2,000000000E1
9,586330255E1;5,594522487E1;-3,380915800E0;3,235574157E1;8,681243896E1;9,989999771E0;2,326999969E2;9,488022900E-1;7,884073734E0;4,967201233E0;1,900000000E1
9,686330255E1;5,594517576E1;-3,381066500E0;3,209221887E1;8,654925537E1;1,036999989E1;2,336999969E2;9,596182435E-1;7,933392048E0;4,919169426E0;2,100000000E1
